title,price,cpu,ram,graphic,SSD,resolution
โน๊ตบุ๊ค MSI Sword 16 HX B14VFKG-242TH Gaming Notebook,"฿49,990",Intel Core i7-14650HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1200 16"" 144Hz IPS"
โน๊ตบุ๊ค MSI Raider GE66 12UGS-070TH Gaming Notebook,"฿79,990",Intel Core i9-12900HK,32GB DDR5,NVIDIA GeForce RTX 3070 Ti Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 240Hz"
โน๊ตบุ๊ค Asus ROG Zephyrus G16 GU605MV-QR221WS Gaming Notebook,"฿79,990",Intel Core Ultra 9 185H,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz OLED"
โน๊ตบุ๊ค MSI Katana 17 B13VGK-1241TH Gaming Notebook,"฿52,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 17.3"" 240Hz"
โน๊ตบุ๊ค Dell Alienware M16 R2 CANM162CTO02GTH Gaming Notebook,"฿99,990",Intel Core Ultra 9 185H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz"
โน๊ตบุ๊ค Gigabyte G6 MF-H2TH853SH Gaming Notebook,"฿31,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRX9-83DV0005TA Gaming Notebook,"฿39,990",Intel Core i5-13450HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo Legion 9 16IRX9-83G00019TA Gaming Notebook,"฿169,990",Intel Core i9-14900HX,64GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"3200 x 2000 16"" 165Hz"
โน๊ตบุ๊ค Lenovo LOQ 15IAX9-83GS001GTA Gaming Notebook,"฿27,990",Intel Core i5-12450HX,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios PH315-55-97GU Gaming Notebook,"฿69,990",Intel Core i9-12900H,32GB DDR5,NVIDIA GeForce RTX 3080 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค MSI Katana A15 AI B8VG-420TH Gaming Notebook,"฿51,490",AMD Ryzen 9 8945HS,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-72-72FG Gaming Notebook,"฿52,990",Intel Core i7-14700HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA506NC-HN017W Gaming Notebook,"฿26,990",AMD Ryzen 5 7535HS,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค HP Omen Transcend 14-fb0080TX Gaming Notebook,"฿79,990",Intel Core Ultra 9 185H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2880 x 1800 14"" 120Hz OLED"
โน๊ตบุ๊ค HP Victus 15-fa1305TX Gaming Notebook,"฿33,990",Intel Core i7-12650H,16GB DDR4,NVIDIA GeForce RTX 4050 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค HP Victus 15-fa1230TX Gaming Notebook,"฿27,990",Intel Core i5-13420H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค HP Omen Transcend 16-u1038TX Gaming Notebook,"฿82,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz OLED"
โน๊ตบุ๊ค Acer Predator Helios PH16-72-9369 Gaming Notebook,"฿99,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 250Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios PH16-72-92WW Gaming Notebook,"฿79,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios PHN16-72-99ZQ Gaming Notebook,"฿65,990",Intel Core i9-14900HX,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios PHN16-72-98J4 Gaming Notebook,"฿59,990",Intel Core i9-14900HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Asus ROG Zephyrus G16 GU603VU-N3092WS Gaming Notebook,"฿49,990",Intel Core i7-13620H,16GB DDR4,NVIDIA GeForce RTX 4050 Laptop,1TB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Pro 5 16IRX8-82WK00N8TA Gaming Notebook,"฿75,990",Intel Core i9-13900HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Gigabyte G6 MF-H3TH853SH Gaming Notebook,"฿41,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Gigabyte AORUS 17X AZG-65TH665SH Gaming Notebook,"฿99,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"2560 x 1440 (2K QHD) 17.3"" 240Hz IPS"
โน๊ตบุ๊ค Gigabyte G6X 9KG-43TH854SH Gaming Notebook,"฿40,900",Intel Core i7-13650HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRH8-82XV00N3TA Gaming Notebook,"฿28,990",Intel Core i5-12450H,16GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus ROG Zephyrus G16 GU605MI-QR225WS Gaming Notebook,"฿89,990",Intel Core Ultra 9 185H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz OLED"
โน๊ตบุ๊ค Asus ROG Zephyrus G14 GA403UV-QS121WS Gaming Notebook,"฿60,990",AMD Ryzen 9 8945HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2880 x 1800 14"" 120Hz OLED"
โน๊ตบุ๊ค MSI Thin 15 B12UCX-1428TH Gaming Notebook,"฿17,990",Intel Core i5-12450H,8GB DDR4,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin 15 B12UC-1426TH Gaming Notebook,"฿21,990",Intel Core i5-12450H,8GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin 15 B13UC-1609TH Gaming Notebook,"฿22,990",Intel Core i5-13420H,8GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin 15 B12VE-1424TH Gaming Notebook,"฿25,990",Intel Core i5-12450H,16GB DDR4,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin A15 B7UC-046TH Gaming Notebook,"฿23,990",AMD Ryzen 5 7535HS,8GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A13VEK-874TH Gaming Notebook,"฿35,490",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 14 A13VE-019TH Gaming Notebook,"฿36,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 14"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A13VFK-873TH Gaming Notebook,"฿36,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 14 A13VF-064TH Gaming Notebook,"฿37,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1200 14"" 144Hz IPS"
